<Phenotype>																					
taxa	data	data	data	data	data	data	data	data	data	data	data	data	data	data	data	data	data	data	data	data	data
Taxa	Latitude	Longitude	wc2.1_30s_bio_1	wc2.1_30s_bio_10	wc2.1_30s_bio_11	wc2.1_30s_bio_12	wc2.1_30s_bio_13	wc2.1_30s_bio_14	wc2.1_30s_bio_15	wc2.1_30s_bio_16	wc2.1_30s_bio_17	wc2.1_30s_bio_18	wc2.1_30s_bio_19	wc2.1_30s_bio_2	wc2.1_30s_bio_3	wc2.1_30s_bio_4	wc2.1_30s_bio_5	wc2.1_30s_bio_6	wc2.1_30s_bio_7	wc2.1_30s_bio_8	wc2.1_30s_bio_9
Amur	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Greenar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Manska	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Nebraska50	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Oahe	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PI383547	37.97	34.68	10.86	20.32	1.07	355.00	52.00	6.00	51.29	142.00	22.00	43.00	98.00	12.43	36.76	783.82	29.10	-4.70	33.80	9.90	20.10
PI383548	37.56	34.51	9.92	19.58	0.10	355.00	52.00	5.00	52.79	146.00	20.00	39.00	105.00	13.63	38.60	792.62	29.30	-6.00	35.30	8.90	19.33
PI383550	39.81	32.75	10.52	20.55	0.08	397.00	53.00	9.00	42.40	136.00	37.00	54.00	130.00	12.02	35.03	831.91	29.10	-5.20	34.30	9.73	20.25
PI383551	38.39	39.67	14.07	26.22	1.72	667.00	94.00	2.00	69.00	271.00	11.00	19.00	270.00	11.53	29.88	1000.90	35.50	-3.10	38.60	6.97	26.15
PI383552	38.87	39.33	12.99	24.78	0.95	728.00	109.00	3.00	65.23	297.00	17.00	17.00	289.00	10.80	28.80	975.11	33.50	-4.00	37.50	3.20	24.78
PI383553	41.14	43.33	2.32	12.57	-8.58	709.00	103.00	37.00	36.18	270.00	121.00	176.00	121.00	10.63	31.00	868.21	20.20	-14.10	34.30	9.85	-8.58
PI383554	39.92	40.69	6.97	18.67	-6.02	499.00	75.00	14.00	45.47	196.00	48.00	48.00	115.00	12.13	29.89	1005.17	28.50	-12.10	40.60	6.13	18.67
PI383555	40.88	40.42	12.92	20.72	5.25	1325.00	173.00	72.00	28.48	460.00	239.00	277.00	357.00	7.90	32.11	643.25	25.70	1.10	24.60	10.37	11.22
PI383556	39.91	41.28	5.20	17.22	-7.63	475.00	75.00	18.00	41.99	186.00	65.00	90.00	92.00	12.01	29.87	1018.14	26.70	-13.50	40.20	9.68	17.17
PI383557	39.91	41.28	5.20	17.22	-7.63	475.00	75.00	18.00	41.99	186.00	65.00	90.00	92.00	12.01	29.87	1018.14	26.70	-13.50	40.20	9.68	17.17
PI383558	41.24	42.70	1.90	12.00	-8.87	835.00	101.00	52.00	22.62	276.00	161.00	209.00	173.00	11.23	32.16	857.83	20.20	-14.70	34.90	9.42	-8.23
PI383561	40.61	43.10	5.20	16.48	-7.87	456.00	79.00	19.00	49.04	195.00	64.00	150.00	64.00	13.25	31.93	995.16	26.40	-15.10	41.50	9.92	-7.87
